Ticker,Security,GICS Sector,GICS Sub-Industry
MSI,Motorola Solutions Inc. Common Stock,Technology,Technology
PLD,Prologis Inc. Common Stock,Real Estate,Real Estate
SWK,Stanley Black & Decker Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
IP,International Paper Company Common Stock,Basic Materials,Basic Materials
PSA,Public Storage Common Stock,Real Estate,Real Estate
MCHP,Microchip Technology Incorporated Common Stock,Technology,Technology
DVA,DaVita Inc. Common Stock,Health Care,Health Care
AVB,AvalonBay Communities Inc. Common Stock,Real Estate,Real Estate
UHS,Universal Health Services Inc. Common Stock,Health Care,Health Care
PEG,Public Service Enterprise Group Incorporated Common Stock,Utilities,Utilities
CHRW,C.H. Robinson Worldwide Inc. Common Stock,Industrials,Industrials
EIX,Edison International Common Stock,Utilities,Utilities
HSY,The Hershey Company Common Stock,Consumer Staples,Consumer Staples
MTB,M&T Bank Corporation Common Stock,Finance,Finance
CFG,Citizens Financial Group Inc. Common Stock,Finance,Finance
VRSK,Verisk Analytics Inc. Common Stock,Industrials,Industrials
CAG,ConAgra Brands Inc. Common Stock,Consumer Staples,Consumer Staples
NRG,NRG Energy Inc. Common Stock,Utilities,Utilities
SRE,DBA Sempra Common Stock,Utilities,Utilities
KLAC,KLA Corporation Common Stock,Technology,Technology
FAST,Fastenal Company Common Stock,Consumer Discretionary,Consumer Discretionary
PCAR,PACCAR Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
XEL,Xcel Energy Inc. Common Stock,Utilities,Utilities
FIS,Fidelity National Information Services Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
NUE,Nucor Corporation Common Stock,Industrials,Industrials
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,Consumer Discretionary,Consumer Discretionary
TXT,Textron Inc. Common Stock,Industrials,Industrials
